order_id,customer_name,city,category,quantity,sales_amount,order_status
10001,Kiran,Delhi,Electronics,3,8837.01,COMPLETED
10002,Sneha,Mumbai,Electronics,2,5351.78,COMPLETED
10003,Vikram,Mumbai,Electronics,7,9408.5,Completed
10004,Kiran,Kochi,Books,2,924.69,Completed
10005,Arun,Delhi,Grocery,3,13105.17,Cancelled
10006,Neha,Bangalore,Books,7,14608.96,Cancelled
10007,Vikram,Kochi,Grocery,7,14540.95,completed
10008,Vikram,Chennai,Books,4,11307.36,Cancelled
10009,Kiran,Kochi,Books,4,2168.77,completed
10010,Priya,Mysore,Clothing,5,11434.38,Pending
10011,Arun,Bangalore,Books,5,612.66,Completed
10012,Kiran,Mysore,Furniture,6,576.32,Pending
10013,Arun,Delhi,Clothing,6,5023.25,Cancelled
10014,Arun,Pune,Books,1,7457.49,Pending
10015,Neha,Mysore,Electronics,2,11613.51,Pending
10016,Vikram,Chennai,Furniture,5,10328.61,Pending
10017,Sneha,Kochi,Furniture,4,6827.06,Cancelled
10018,Neha,,Furniture,3,4285.99,Pending
10019,Neha,Kochi,Clothing,4,14957.59,completed
10020,Arun,Mysore,Books,2,6536.17,Cancelled
10021,Anjali,Kochi,Books,6,6907.96,Pending
10022,Vikram,Delhi,Electronics,4,2663.45,Cancelled
10023,Priya,Pune,Electronics,1,11973.44,COMPLETED
10024,Neha,Delhi,Furniture,2,10481.81,completed
10025,Sneha,Mysore,Electronics,6,3506.35,Pending
10026,Anjali,Delhi,Clothing,3,1465.12,COMPLETED
10027,Anjali,Chennai,Books,6,10287.36,COMPLETED
10028,Priya,Mysore,Furniture,7,9904.04,Cancelled
10029,Neha,Mysore,Electronics,1,4280.58,COMPLETED
10030,Sneha,Mysore,Clothing,2,14275.24,completed
10031,Vikram,Bangalore,Clothing,3,2478.1,completed
10032,,Kochi,Electronics,1,6626.94,Completed
10033,Sneha,Bangalore,Books,6,14168.33,completed
10034,Priya,Bangalore,Electronics,1,6440.98,COMPLETED
10035,Anjali,Chennai,Furniture,2,9668.26,completed
10036,Vikram,Pune,Electronics,5,6114.52,Cancelled
10037,Sneha,Kochi,Clothing,1,4294.67,Completed
10038,Rahul,Delhi,Electronics,7,14763.67,COMPLETED
10039,Rahul,Mumbai,Books,1,6287.68,Completed
10040,Arun,Mysore,Grocery,6,13437.96,COMPLETED
10041,Arun,Delhi,Electronics,6,3641.83,Cancelled
10042,Kiran,Mysore,Books,3,3393.29,Completed
10043,Priya,Chennai,Books,6,709.23,Pending
10044,Neha,Mysore,Clothing,4,9862.09,COMPLETED
10045,Sneha,Bangalore,Books,2,5685.76,Pending
10046,Sneha,Kochi,Books,2,12999.28,Completed
10047,Neha,Mumbai,Books,5,7229.85,Pending
10048,Kiran,Hyderabad,Books,5,14530.85,Pending
10049,Anjali,Mysore,Furniture,2,2986.5,Completed
10050,Anjali,Delhi,Furniture,7,13062.19,Cancelled
10051,Kiran,Bangalore,Clothing,5,11704.8,Pending
10052,Anjali,Hyderabad,Electronics,3,11621.1,Pending
10053,Arun,Mumbai,Books,6,12710.55,Cancelled
10054,Sneha,Hyderabad,Electronics,2,11475.1,Pending
10055,Kiran,Bangalore,Electronics,5,9486.75,Pending
10056,Sneha,Kochi,,2,2185.86,Pending
10057,Neha,Kochi,Books,4,729.76,completed
10058,Rahul,Pune,Books,1,13832.51,Cancelled
10059,Arun,Kochi,Grocery,6,9345.59,Pending
10060,Vikram,Pune,Electronics,2,11998.93,Cancelled
10061,Arun,Hyderabad,Electronics,1,7352.45,COMPLETED
10062,Kiran,Chennai,Furniture,5,1980.3,COMPLETED
10063,Vikram,Delhi,Grocery,1,2096.49,Pending
10064,Rahul,Delhi,Furniture,6,10362.09,Cancelled
10065,Kiran,Hyderabad,Furniture,2,6597.01,Cancelled
10066,Priya,Mysore,Furniture,4,3207.74,Cancelled
10067,Sneha,Mysore,Clothing,7,7501.02,completed
10068,Rahul,Kochi,Clothing,5,1197.08,COMPLETED
10069,Sneha,Delhi,Furniture,2,8834.08,Cancelled
10070,Anjali,Delhi,Grocery,6,4217.65,Cancelled
10071,Priya,Pune,Electronics,5,12014.0,completed
10072,Priya,Chennai,Grocery,3,4827.84,completed
10073,Rahul,Bangalore,Books,1,6964.5,Cancelled
10074,Priya,Mysore,Clothing,7,421.4,Completed
10075,Vikram,Delhi,Electronics,6,1318.59,Cancelled
10076,Priya,Pune,Electronics,3,6039.28,Cancelled
10077,Sneha,Mumbai,Books,2,7329.1,completed
10078,Sneha,Pune,Books,4,9100.3,completed
